id,sex,eth,eng,exp_date,interact_before,percieved_robot_gender,item,robot_expression,ppt_resp,time,ppt_acc
1,Female,White,Yes,05/09/2017,Never,Male,Toast,1,Like,06:43:00,Correct
1,Female,White,Yes,05/09/2017,Never,Male,Milk,2,Like,07:07:00,Correct
1,Female,White,Yes,05/09/2017,Never,Male,Beans,3,Dislike,07:31:00,Correct
1,Female,White,Yes,05/09/2017,Never,Male,Oatmeal,4,Dislike,07:50:00,Correct
10,Female,White,No,08/09/2017,Never,Male,Oatmeal,2,Like,06:46:00,Correct
10,Female,White,No,08/09/2017,Never,Male,Beans,3,Dislike,07:23:00,Correct
10,Female,White,No,08/09/2017,Never,Male,Croissant,4,Dislike,07:43:00,Correct
10,Female,White,No,08/09/2017,Never,Male,Toast,1,Like,08:05:00,Correct
11,Female,White,Yes,11/09/2017,Never,Female,Oatmeal,2,Like,08:26:00,Correct
11,Female,White,Yes,11/09/2017,Never,Female,Milk,4,Dislike,08:50:00,Correct
11,Female,White,Yes,11/09/2017,Never,Female,Toast,1,Like,09:14:00,Correct
11,Female,White,Yes,11/09/2017,Never,Female,Beans,3,Dislike,09:34:00,Correct
12,Male,White,No,11/09/2017,Once or twice,Female,Croissant,2,Like,04:35:00,Correct
12,Male,White,No,11/09/2017,Once or twice,Female,Milk,4,Dislike,05:05:00,Correct
12,Male,White,No,11/09/2017,Once or twice,Female,Toast,3,Like,05:26:00,Incorrect
12,Male,White,No,11/09/2017,Once or twice,Female,Oatmeal,1,Dislike,05:53:00,Incorrect
13,Female,White,No,11/09/2017,Once or twice,Female,Beans,3,Like,09:02:00,Incorrect
13,Female,White,No,11/09/2017,Once or twice,Female,Toast,1,Dislike,09:29:00,Incorrect
13,Female,White,No,11/09/2017,Once or twice,Female,Milk,2,Like,09:55:00,Correct
13,Female,White,No,11/09/2017,Once or twice,Female,Croissant,4,Like,10:32:00,Incorrect
14,Female,White,Yes,11/09/2017,Once or twice,Female,Croissant,3,Dislike,03:37:00,Correct
14,Female,White,Yes,11/09/2017,Once or twice,Female,Milk,1,Like,03:58:00,Correct
14,Female,White,Yes,11/09/2017,Once or twice,Female,Oatmeal,4,Dislike,04:19:00,Correct
14,Female,White,Yes,11/09/2017,Once or twice,Female,Toast,2,Like,04:37:00,Correct
15,Male,Asian,Yes,12/09/2017,Never,Female,Oatmeal,3,Dislike,39:35:00,Correct
15,Male,Asian,Yes,12/09/2017,Never,Female,Beans,2,Like,39:55:00,Correct
15,Male,Asian,Yes,12/09/2017,Never,Female,Croissant,1,Like,40:14:00,Correct
15,Male,Asian,Yes,12/09/2017,Never,Female,Toast,4,Dislike,40:32:00,Correct
16,Male,White,Yes,12/09/2017,Never,Female,Beans,3,Dislike,06:54:00,Correct
16,Male,White,Yes,12/09/2017,Never,Female,Toast,2,Like,07:14:00,Correct
16,Male,White,Yes,12/09/2017,Never,Female,Croissant,4,Dislike,07:32:00,Correct
16,Male,White,Yes,12/09/2017,Never,Female,Milk,1,Like,07:52:00,Correct
17,Male,White,Yes,13/09/2017,Never,Female,Croissant,3,Miss,02:37:00,Incorrect
17,Male,White,Yes,13/09/2017,Never,Female,Croissant,4,Dislike,03:00:00,Correct
17,Male,White,Yes,13/09/2017,Never,Female,Milk,1,Like,03:20:00,Correct
17,Male,White,Yes,13/09/2017,Never,Female,Toast,2,Like,03:39:00,Correct
18,Male,White,Yes,13/09/2017,Never,Female,Toast,3,Dislike,05:02:00,Correct
18,Male,White,Yes,13/09/2017,Never,Female,Milk,4,Like,05:22:00,Incorrect
18,Male,White,Yes,13/09/2017,Never,Female,Croissant,2,Like,05:41:00,Correct
18,Male,White,Yes,13/09/2017,Never,Female,Oatmeal,1,Like,05:58:00,Correct
19,Male,White,Yes,14/09/2017,Once or twice,Female,Croissant,4,Dislike,24:49:00,Correct
19,Male,White,Yes,14/09/2017,Once or twice,Female,Milk,1,Like,25:06:00,Correct
19,Male,White,Yes,14/09/2017,Once or twice,Female,Oatmeal,2,Like,25:24:00,Correct
19,Male,White,Yes,14/09/2017,Once or twice,Female,Beans,3,Dislike,25:41:00,Correct
2,Male,White,Yes,05/09/2017,Never,Female,Beans,1,Dislike,01:14:00,Incorrect
2,Male,White,Yes,05/09/2017,Never,Female,Toast,2,Like,01:38:00,Correct
2,Male,White,Yes,05/09/2017,Never,Female,Croissant,4,Dislike,01:57:00,Correct
2,Male,White,Yes,05/09/2017,Never,Female,Oatmeal,3,Dislike,02:20:00,Correct
20,Male,White,Yes,18/09/2017,Never,Female,Milk,4,Dislike,19:52:00,Correct
20,Male,White,Yes,18/09/2017,Never,Female,Oatmeal,1,Like,20:13:00,Correct
20,Male,White,Yes,18/09/2017,Never,Female,Toast,3,Like,20:34:00,Incorrect
20,Male,White,Yes,18/09/2017,Never,Female,Beans,2,Like,20:54:00,Correct
21,Male,White,Yes,18/09/2017,A few times,Female,Croissant,4,Dislike,25:50:00,Correct
21,Male,White,Yes,18/09/2017,A few times,Female,Beans,2,Like,26:12:00,Correct
21,Male,White,Yes,18/09/2017,A few times,Female,Oatmeal,1,Like,26:33:00,Correct
21,Male,White,Yes,18/09/2017,A few times,Female,Milk,3,Dislike,26:51:00,Correct
22,Female,White,Yes,18/09/2017,Once or twice,Female,Beans,4,Dislike,02:25:00,Correct
