id,condition,trial,rt,follow_robot,accuracy,conf,data_source,group,rt_mean,conf_mean,follow_freq,5_conf,10_conf,5_rt,10_rt,5_follow,10_follow
578da5f64d107800016dbf67,ToM,Trial 1,1335.799999982119,follow,correct,97,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Trial 2,795.5,follow,correct,100,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Trial 3,1621.5999999940395,follow,correct,97,attention,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Trial 4,1143.4000000059605,follow,correct,100,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Breaking of Trust,2803.9000000059605,not_follow,incorrect,89,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Trial 6,1004.8000000119207,follow,correct,100,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Trial 7,942.1999999880793,follow,correct,100,attention,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Trial 8,2378.4000000059605,follow,correct,100,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Trial 9,1135.5999999940395,follow,correct,94,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
578da5f64d107800016dbf67,ToM,Assessment of Trust,2617.5999999940395,not_follow,incorrect,79,trial,distrustor,1577.8799999982118,95.6,8,89,79,2803.9000000059605,2617.5999999940395,not_follow,not_follow
5833e52deffe9300018f8380,ToM,Trial 1,1339.9000000059605,follow,correct,49,trial,ind_think,2759.060000005364,78.1,9,74,99,12147.299999982115,5188.200000017881,not_follow,follow
5833e52deffe9300018f8380,ToM,Trial 2,651.2000000178817,follow,correct,50,trial,ind_think,2759.060000005364,78.1,9,74,99,12147.299999982115,5188.200000017881,not_follow,follow
5833e52deffe9300018f8380,ToM,Trial 3,4545.200000017881,follow,correct,100,attention,ind_think,2759.060000005364,78.1,9,74,99,12147.299999982115,5188.200000017881,not_follow,follow
5833e52deffe9300018f8380,ToM,Trial 4,760.5,follow,correct,80,trial,ind_think,2759.060000005364,78.1,9,74,99,12147.299999982115,5188.200000017881,not_follow,follow
5833e52deffe9300018f8380,ToM,Breaking of Trust,12147.299999982115,not_follow,incorrect,74,trial,ind_think,2759.060000005364,78.1,9,74,99,12147.299999982115,5188.200000017881,not_follow,follow
5833e52deffe9300018f8380,ToM,Trial 6,489.5,follow,correct,65,trial,ind_think,2759.060000005364,78.1,9,74,99,12147.299999982115,5188.200000017881,not_follow,follow
5833e52deffe9300018f8380,ToM,Trial 7,1069.8000000119205,follow,correct,81,attention,ind_think,2759.060000005364,78.1,9,74,99,12147.299999982115,5188.200000017881,not_follow,follow
