id,condition,manipulation_check,manipulation_check_quantised,Gefen1,Gefen1_quantised,Gefen2,Gefen2_quantised,Gefen3,Gefen3_quantised,Gefen4,Gefen4_quantised,attention3,attention3_quantised,Gefen5,Gefen5_quantised,score
613a9193ed68e49209b471b7,baseline,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Neither Agree Nor Disagree,4,Strongly Agree,7,Strongly Agree,7,30
607a3daa5e5eefa6a427b054,baseline,Strongly Disagree,1,Slightly Agree,5,Agree,6,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,19
5f32e2c95cf14509a4d8d36c,baseline,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Agree,6,28
5f118e44be3dfb0182991a53,baseline,Strongly Disagree,1,Agree,6,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,27
604de9eb31dfe44163b57d2d,baseline,Neither Agree Nor Disagree,4,Slightly Agree,5,Slightly Agree,5,Agree,6,Slightly Agree,5,Strongly Agree,7,Neither Agree Nor Disagree,4,25
60fd2028bba350d12dbbe7a5,baseline,Disagree,2,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
60ffe9a16b2f867418fc513a,baseline,Disagree,2,Agree,6,Agree,6,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,31
5e06667850221303e42bdfc4,baseline,Slightly Agree,5,Slightly Disagree,3,Neither Agree Nor Disagree,4,Slightly Disagree,3,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Disagree,3,17
5b8e8feeee5b0500010f16d0,baseline,Disagree,2,Disagree,2,Disagree,2,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Disagree,2,16
616b2068ec2a937a2b6a45ed,baseline,Strongly Disagree,1,Slightly Disagree,3,Disagree,2,Strongly Agree,7,Disagree,2,Agree,6,Disagree,2,16
6105dad1b1a29773a184919f,baseline,Strongly Disagree,1,Slightly Agree,5,Agree,6,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,27
5ce472e1c9c3a300019049be,baseline,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,21
60dac9748417cc8e2f3e54b5,baseline,Slightly Disagree,3,Slightly Agree,5,Agree,6,Slightly Agree,5,Slightly Disagree,3,Strongly Agree,7,Agree,6,25
615c6f5a193b422412752c83,baseline,Neither Agree Nor Disagree,4,Slightly Agree,5,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Strongly Agree,7,29
611e43f635e97d79b17096ef,baseline,Agree,6,Strongly Disagree,1,Disagree,2,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Agree,6,Disagree,2,13
5f323b38b1d00518b2722bf5,baseline,Slightly Disagree,3,Slightly Agree,5,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Slightly Disagree,3,Strongly Agree,7,Agree,6,22
60199372bd48490e12a0d92e,baseline,Disagree,2,Disagree,2,Disagree,2,Strongly Disagree,1,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,11
60b8b5dcb46db8ae98d0b047,baseline,Slightly Disagree,3,Agree,6,Slightly Agree,5,Slightly Disagree,3,Neither Agree Nor Disagree,4,Strongly Agree,7,Strongly Agree,7,25
5b06ebe96f73510001fdb40e,baseline,Slightly Agree,5,Slightly Disagree,3,Neither Agree Nor Disagree,4,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,15
5f76884e077186131e17d851,baseline,Strongly Disagree,1,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Neither Agree Nor Disagree,4,16
5a993b151eda410001365a23,baseline,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,15
5f5a98c14aea451920c16cc2,baseline,Strongly Disagree,1,Agree,6,Agree,6,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,28
6153ae1e87ecf23bc773fd2d,baseline,Agree,6,Neither Agree Nor Disagree,4,Slightly Agree,5,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Agree,5,22
613246c4e0e8fd2e66ef9ea3,baseline,Slightly Agree,5,Agree,6,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,28
607728dc0b4f8590b94ae57c,baseline,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,15
5f63a2bc08a0080c790f8eb6,baseline,Strongly Disagree,1,Slightly Agree,5,Disagree,2,Slightly Agree,5,Slightly Disagree,3,Strongly Agree,7,Neither Agree Nor Disagree,4,19
