id,condition,Gefen1,Gefen1-quantised,Gefen2,Gefen2-quantised,Gefen3,Gefen3-quantised,Gefen4,Gefen4-quantised,attention3,attention3-quantised,Gefen5,Gefen5-quantised,score
6025052cdf4a8e24cdd62920,ToM,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Strongly Agree,7,30
60c9e28c4ee862786ba5368d,ToM,Slightly Agree,5,Slightly Agree,5,Slightly Disagree,3,Slightly Agree,5,Strongly Agree,7,Agree,6,24
5dee3c313ccb8a4cbe050a84,No-ToM,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
60b5502cafe78a4ddb2776cb,No-ToM,Agree,6,Agree,6,Slightly Disagree,3,Agree,6,Strongly Agree,7,Agree,6,27
5f033c50099f49505831941b,No-ToM,Agree,6,Disagree,2,Slightly Agree,5,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,21
5f4d290795b8189a172123ee,ToM,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
60c8aed73ab0030dcf5f1fd6,No-ToM,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Strongly Agree,7,31
60c8f798766829e2bc3824d7,ToM,Agree,6,Slightly Agree,5,Strongly Agree,7,Strongly Agree,7,Slightly Agree,5,Agree,6,31
5eee1fab4baef3282fbeed9c,No-ToM,Slightly Disagree,3,Disagree,2,Strongly Agree,7,Agree,6,Strongly Agree,7,Slightly Agree,5,23
5fbbe815c5b45b000b41b06b,No-ToM,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,29
60c8f3f37aff47f7a764fba3,ToM,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,25
60c8a041886d0de910b2966f,ToM,Agree,6,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,Strongly Agree,7,Agree,6,27
60c86e93e499f90f3dd51618,No-ToM,Slightly Disagree,3,Disagree,2,Strongly Disagree,1,Disagree,2,Strongly Agree,7,Slightly Agree,5,13
5e4c144b7e9dfa069f97e298,ToM,Agree,6,Agree,6,Agree,6,Agree,6,Agree,6,Slightly Agree,5,29
5fcba68961d36f8e14e43056,ToM,Agree,6,Slightly Agree,5,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,19
5c96571aed394b0001bb2094,No-ToM,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,26
60c88d2183b9d457701cf4f4,No-ToM,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,29
601865dbcd7cd60f567b8665,No-ToM,Slightly Agree,5,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Strongly Agree,7,29
5f32904e5534bf06dd638467,ToM,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Agree,5,Neither Agree Nor Disagree,4,Agree,6,Strongly Agree,7,25
60c7d82161f95f3e139afc3f,No-ToM,Agree,6,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Strongly Agree,7,30
5ef91b6f49faae6a7078417f,No-ToM,Slightly Agree,5,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Agree,5,Strongly Agree,7,Agree,6,25
5d984836bf54b503a6bbe9a2,ToM,Agree,6,Disagree,2,Agree,6,Agree,6,Strongly Agree,7,Agree,6,26
5dc0077fd819104566394afa,ToM,Slightly Disagree,3,Slightly Disagree,3,Neither Agree Nor Disagree,4,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,16
60c89c0e9445e1a77532e876,No-ToM,Slightly Disagree,3,Disagree,2,Disagree,2,Disagree,2,Strongly Agree,7,Slightly Disagree,3,12
5833e52deffe9300018f8380,ToM,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,26
60c9d8ae2ac803814af726f1,No-ToM,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,26
5f7345ef4b3fc3027203ecf1,No-ToM,Slightly Disagree,3,Slightly Disagree,3,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,14
5c7e7970efcd55000105a686,ToM,Slightly Agree,5,Disagree,2,Slightly Agree,5,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,20
58765ba1ce4b2800017289e3,No-ToM,Neither Agree Nor Disagree,4,Slightly Disagree,3,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Neither Agree Nor Disagree,4,17
5f404c44c4c5181840e3b197,ToM,Agree,6,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,26
5d4c3fcc7a55b500168043a4,No-ToM,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,29
601000c380f7d923c17143ef,No-ToM,Agree,6,Agree,6,Slightly Agree,5,Agree,6,Strongly Agree,7,Agree,6,29
5ef5cff343a45e246d1b93e0,No-ToM,Agree,6,Slightly Disagree,3,Slightly Agree,5,Neither Agree Nor Disagree,4,Strongly Agree,7,Agree,6,24
5f40356542b64f14cfc0c53f,ToM,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
5fe2308a91773957e88b89be,ToM,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
5ebc00a629fee7040749a921,ToM,Agree,6,Agree,6,Neither Agree Nor Disagree,4,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,26
5b01647dc66dc6000197d6ea,No-ToM,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,29
5f95ba818b704044123ba975,No-ToM,Disagree,2,Slightly Agree,5,Disagree,2,Strongly Disagree,1,Strongly Agree,7,Slightly Disagree,3,13
5def63da5a81d3000c3f5ec9,No-ToM,Agree,6,Slightly Agree,5,Strongly Agree,7,Slightly Disagree,3,Strongly Agree,7,Agree,6,27
60478f19a85dd30008f4bc6f,ToM,Agree,6,Agree,6,Strongly Agree,7,Disagree,2,Strongly Agree,7,Agree,6,27
60c8daf9fadf8da8da331140,No-ToM,Agree,6,Neither Agree Nor Disagree,4,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Neither Agree Nor Disagree,4,24
5f16f1c6471098000ce94da5,ToM,Neither Agree Nor Disagree,4,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,23
5fdb467f3de890644c47206c,No-ToM,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,26
5ef8811519f02e01d2b9fba5,No-ToM,Agree,6,Neither Agree Nor Disagree,4,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,29
5e5b97cdb7348d365adb5315,ToM,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,26
5f9e19ae97b3c23c6eaafc96,ToM,Strongly Agree,7,Strongly Agree,7,Agree,6,Neither Agree Nor Disagree,4,Strongly Agree,7,Strongly Agree,7,31
591e2e99529e9f0001ec705a,ToM,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Disagree,2,Strongly Agree,7,Disagree,2,12
5d9de8e8996ad3001b904aa5,ToM,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Disagree,3,Neither Agree Nor Disagree,4,Agree,6,Neither Agree Nor Disagree,4,20
5ff8b3ce18f1a6125ec426e9,No-ToM,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
60c3c2930746d8188901cea7,ToM,Slightly Agree,5,Agree,6,Slightly Disagree,3,Slightly Agree,5,Strongly Agree,7,Agree,6,25
5c1b822abdb7e80001834a09,No-ToM,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,26
5ff0b107341f4243c9da75b3,No-ToM,Disagree,2,Slightly Agree,5,Strongly Disagree,1,Disagree,2,Strongly Agree,7,Slightly Disagree,3,13
60ad0f30b432d8c0a8e010e7,No-ToM,Agree,6,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Strongly Agree,7,30
60056b8b5db9c8774719d1a8,ToM,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,29
5ed8a3d6d20f6b3a6b7841db,ToM,Agree,6,Slightly Agree,5,Slightly Disagree,3,Slightly Agree,5,Strongly Agree,7,Agree,6,25
5eb9e9df03d2bb129bb57702,ToM,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
603e4c473a28f3e731a8e7e9,ToM,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,30
60664ccd3d950919f3df7475,ToM,Disagree,2,Disagree,2,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,14
5c00459dbab6730001648b96,No-ToM,Agree,6,Slightly Disagree,3,Slightly Agree,5,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,22
602c36b7dab92a4de0a3b700,No-ToM,Strongly Agree,7,Neither Agree Nor Disagree,4,Strongly Disagree,1,Agree,6,Strongly Agree,7,Agree,6,24
5d9cc271e64f5a00172aa239,ToM,Slightly Agree,5,Slightly Agree,5,Agree,6,Agree,6,Strongly Agree,7,Agree,6,28
5a16e865a383a100011b5ea3,No-ToM,Agree,6,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,26
578da5f64d107800016dbf67,ToM,Agree,6,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,25
60a51aece7beb17b4303be18,ToM,Slightly Agree,5,Agree,6,Slightly Agree,5,Slightly Disagree,3,Strongly Agree,7,Neither Agree Nor Disagree,4,23
5ed5189b4a1f3806a88a94f5,No-ToM,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,Strongly Agree,7,Strongly Agree,7,33
5f980e860513db0558a5ba3f,ToM,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,20
5efd9ae7f2b3b61fb38f8dc2,ToM,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,29
60379badfe7ac701681d09ff,ToM,Agree,6,Agree,6,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Strongly Agree,7,29
5f0f93938935de000855898b,No-ToM,Agree,6,Slightly Disagree,3,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,17
60784e1943043fc7d824e2d8,No-ToM,Agree,6,Slightly Agree,5,Disagree,2,Slightly Disagree,3,Strongly Agree,7,Agree,6,22
5f63a183f422c50c4c81ef93,ToM,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,25
5f29d2d2c468ee168e02c479,No-ToM,Agree,6,Slightly Agree,5,Agree,6,Slightly Disagree,3,Strongly Agree,7,Agree,6,26
6081617b71a46e4694f4668b,No-ToM,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,29
5f45eb2a277cf6216608323b,ToM,Agree,6,Agree,6,Slightly Agree,5,Neither Agree Nor Disagree,4,Strongly Agree,7,Agree,6,27
607a01580101ea8b2652e450,No-ToM,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,26
5ffedfa49fb1035653816175,ToM,Disagree,2,Strongly Disagree,1,Slightly Disagree,3,Strongly Disagree,1,Strongly Agree,7,Slightly Agree,5,12
