id,condition,trial,rt,follow_robot,accuracy,conf
578da5f64d107800016dbf67,ToM,Trial 1,1335.799999982119,follow,correct,97
578da5f64d107800016dbf67,ToM,Trial 2,795.5,follow,correct,100
578da5f64d107800016dbf67,ToM,Trial 3,1621.5999999940395,follow,correct,97
578da5f64d107800016dbf67,ToM,Trial 4,1143.4000000059605,follow,correct,100
578da5f64d107800016dbf67,ToM,Breaking of Trust,2803.9000000059605,not_follow,incorrect,89
578da5f64d107800016dbf67,ToM,Trial 6,1004.8000000119208,follow,correct,100
578da5f64d107800016dbf67,ToM,Trial 7,942.1999999880792,follow,correct,100
578da5f64d107800016dbf67,ToM,Trial 8,2378.4000000059605,follow,correct,100
578da5f64d107800016dbf67,ToM,Trial 9,1135.5999999940395,follow,correct,94
578da5f64d107800016dbf67,ToM,Assessment of Trust,2617.5999999940395,not_follow,incorrect,79
5833e52deffe9300018f8380,ToM,Trial 1,1339.9000000059605,follow,correct,49
5833e52deffe9300018f8380,ToM,Trial 2,651.2000000178817,follow,correct,50
5833e52deffe9300018f8380,ToM,Trial 3,4545.200000017881,follow,correct,100
5833e52deffe9300018f8380,ToM,Trial 4,760.5,follow,correct,80
5833e52deffe9300018f8380,ToM,Breaking of Trust,12147.299999982117,not_follow,incorrect,74
5833e52deffe9300018f8380,ToM,Trial 6,489.5,follow,correct,65
5833e52deffe9300018f8380,ToM,Trial 7,1069.8000000119205,follow,correct,81
5833e52deffe9300018f8380,ToM,Trial 8,847.9000000059604,follow,correct,88
5833e52deffe9300018f8380,ToM,Trial 9,551.0999999940394,follow,correct,95
5833e52deffe9300018f8380,ToM,Assessment of Trust,5188.200000017881,follow,correct,99
58765ba1ce4b2800017289e3,No-ToM,Trial 1,4172.899999976158,follow,correct,100
58765ba1ce4b2800017289e3,No-ToM,Trial 2,1298.5,follow,correct,100
58765ba1ce4b2800017289e3,No-ToM,Trial 3,4624.799999952316,not_follow,incorrect,54
58765ba1ce4b2800017289e3,No-ToM,Trial 4,15445.399999976153,follow,correct,100
58765ba1ce4b2800017289e3,No-ToM,Breaking of Trust,3840.799999952316,follow,correct,98
58765ba1ce4b2800017289e3,No-ToM,Trial 6,1170.6999999284744,follow,correct,100
58765ba1ce4b2800017289e3,No-ToM,Trial 7,2550.399999976159,follow,correct,100
58765ba1ce4b2800017289e3,No-ToM,Trial 8,2708.600000023841,follow,correct,100
58765ba1ce4b2800017289e3,No-ToM,Trial 9,1723.1000000238414,follow,correct,100
58765ba1ce4b2800017289e3,No-ToM,Assessment of Trust,4313.700000047684,not_follow,incorrect,97
591e2e99529e9f0001ec705a,ToM,Trial 1,4735.600000000093,follow,correct,79
591e2e99529e9f0001ec705a,ToM,Trial 2,2960.0999999996266,follow,correct,86
591e2e99529e9f0001ec705a,ToM,Trial 3,6740.100000000093,follow,correct,62
591e2e99529e9f0001ec705a,ToM,Trial 4,4451.899999999909,follow,correct,91
591e2e99529e9f0001ec705a,ToM,Breaking of Trust,9106.200000000186,follow,correct,79
591e2e99529e9f0001ec705a,ToM,Trial 6,4638,follow,correct,60
591e2e99529e9f0001ec705a,ToM,Trial 7,34709.5,not_follow,incorrect,58
591e2e99529e9f0001ec705a,ToM,Trial 8,7750.200000000186,follow,correct,81
591e2e99529e9f0001ec705a,ToM,Trial 9,2657.1999999997197,follow,correct,88
591e2e99529e9f0001ec705a,ToM,Assessment of Trust,13689.599999999624,not_follow,incorrect,67
59858eab7678a6000110e4d6,No-ToM,Trial 1,1639,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Trial 2,900,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Trial 3,8271,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Trial 4,1183,follow,correct,69
59858eab7678a6000110e4d6,No-ToM,Breaking of Trust,818,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Trial 6,871,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Trial 7,736,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Trial 8,628,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Trial 9,597,follow,correct,100
59858eab7678a6000110e4d6,No-ToM,Assessment of Trust,956,not_follow,incorrect,64
5a0e2710f2e3460001edb9f9,No-ToM,Trial 1,1860.0999999642377,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Trial 2,1105.699999988079,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Trial 3,2735.5999999642368,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Trial 4,2688.800000011921,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Breaking of Trust,1275.399999976158,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Trial 6,2232.399999976159,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Trial 7,2966,not_follow,incorrect,84
5a0e2710f2e3460001edb9f9,No-ToM,Trial 8,1013.3000000119208,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Trial 9,1204.5,follow,correct,100
5a0e2710f2e3460001edb9f9,No-ToM,Assessment of Trust,1812.400000035763,follow,correct,80
5a16e865a383a100011b5ea3,No-ToM,Trial 1,3488.300000011921,follow,correct,100
5a16e865a383a100011b5ea3,No-ToM,Trial 2,1111.400000035763,follow,correct,100
5a16e865a383a100011b5ea3,No-ToM,Trial 3,6259.5,follow,correct,99
5a16e865a383a100011b5ea3,No-ToM,Trial 4,2550.899999976159,follow,correct,100
5a16e865a383a100011b5ea3,No-ToM,Breaking of Trust,2977.100000023841,follow,correct,100
5a16e865a383a100011b5ea3,No-ToM,Trial 6,1385.2000000476835,follow,correct,100
5a16e865a383a100011b5ea3,No-ToM,Trial 7,1448.199999988079,follow,correct,100
5a16e865a383a100011b5ea3,No-ToM,Trial 8,2879.0999999642368,not_follow,incorrect,84
5a16e865a383a100011b5ea3,No-ToM,Trial 9,1388.3000000119205,follow,correct,100
5a16e865a383a100011b5ea3,No-ToM,Assessment of Trust,2582.0999999642368,not_follow,incorrect,79
5a280910e5bd400001e19ebd,No-ToM,Trial 1,1162.7749999997322,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Trial 2,1501.4499999997793,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Trial 3,18510.320000000356,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Trial 4,599.8099999997064,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Breaking of Trust,809.4350000001141,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Trial 6,2408.6999999999534,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Trial 7,2753.230000000214,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Trial 8,1494.8300000006566,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Trial 9,730.7999999993483,follow,correct,100
5a280910e5bd400001e19ebd,No-ToM,Assessment of Trust,579.0799999994925,follow,correct,77
5a4d409dd5b53b0001f829f1,ToM,Trial 1,1284.2999999988824,follow,correct,80
5a4d409dd5b53b0001f829f1,ToM,Trial 2,845,follow,correct,86
5a4d409dd5b53b0001f829f1,ToM,Trial 3,4940.9000000003725,follow,correct,75
5a4d409dd5b53b0001f829f1,ToM,Trial 4,1442,not_follow,incorrect,80
5a4d409dd5b53b0001f829f1,ToM,Breaking of Trust,1410.5999999996277,follow,correct,77
5a4d409dd5b53b0001f829f1,ToM,Trial 6,798.0999999996277,follow,correct,77
5a4d409dd5b53b0001f829f1,ToM,Trial 7,1057.9000000003723,follow,correct,91
5a4d409dd5b53b0001f829f1,ToM,Trial 8,12306.599999999624,follow,correct,96
5a4d409dd5b53b0001f829f1,ToM,Trial 9,1794.9000000003723,follow,correct,91
5a4d409dd5b53b0001f829f1,ToM,Assessment of Trust,6064.9000000003725,not_follow,incorrect,89
5a609c8331b87a0001c6b64c,No-ToM,Trial 1,2488.600000023841,follow,correct,100
5a609c8331b87a0001c6b64c,No-ToM,Trial 2,1099.199999988079,follow,correct,100
5a609c8331b87a0001c6b64c,No-ToM,Trial 3,10835.699999988072,follow,correct,100
5a609c8331b87a0001c6b64c,No-ToM,Trial 4,5519.300000011923,not_follow,incorrect,82
5a609c8331b87a0001c6b64c,No-ToM,Breaking of Trust,1573.699999988079,follow,correct,100
5a609c8331b87a0001c6b64c,No-ToM,Trial 6,3155.199999988079,follow,correct,100
5a609c8331b87a0001c6b64c,No-ToM,Trial 7,45806.19999998808,follow,correct,87
5a609c8331b87a0001c6b64c,No-ToM,Trial 8,1792.2999999523158,follow,correct,100
5a609c8331b87a0001c6b64c,No-ToM,Trial 9,1779.8000000119205,follow,correct,100
5a609c8331b87a0001c6b64c,No-ToM,Assessment of Trust,4757.5,not_follow,incorrect,100
5a913be789de8200013ea962,ToM,Trial 1,1439.29999999702,follow,correct,100
5a913be789de8200013ea962,ToM,Trial 2,1204.5,follow,correct,100
5a913be789de8200013ea962,ToM,Trial 3,1896,follow,correct,100
5a913be789de8200013ea962,ToM,Trial 4,12448.699999995526,not_follow,incorrect,100
5a913be789de8200013ea962,ToM,Breaking of Trust,773,follow,correct,100
5a913be789de8200013ea962,ToM,Trial 6,1350.2000000029802,follow,correct,100
5a913be789de8200013ea962,ToM,Trial 7,1377.30000000447,follow,correct,100
5a913be789de8200013ea962,ToM,Trial 8,1624.5999999940395,follow,correct,100
5a913be789de8200013ea962,ToM,Trial 9,752.0999999940394,follow,correct,100
5a913be789de8200013ea962,ToM,Assessment of Trust,53913.300000004485,follow,correct,100
5aebbcc623e2ca0001974e39,No-ToM,Trial 1,2111.399999976159,follow,correct,100
5aebbcc623e2ca0001974e39,No-ToM,Trial 2,1263.7000000476835,follow,correct,100
5aebbcc623e2ca0001974e39,No-ToM,Trial 3,4216.899999976158,follow,correct,81
5aebbcc623e2ca0001974e39,No-ToM,Trial 4,18338.600000023845,follow,correct,75
5aebbcc623e2ca0001974e39,No-ToM,Breaking of Trust,3218.1999999284744,follow,correct,73
5aebbcc623e2ca0001974e39,No-ToM,Trial 6,1512.099999904633,follow,correct,75
5aebbcc623e2ca0001974e39,No-ToM,Trial 7,1698.8000000715256,follow,correct,87
5aebbcc623e2ca0001974e39,No-ToM,Trial 8,984.2999999523166,follow,correct,100
5aebbcc623e2ca0001974e39,No-ToM,Trial 9,818.3000000715256,follow,correct,86
5aebbcc623e2ca0001974e39,No-ToM,Assessment of Trust,57534.89999997617,not_follow,incorrect,62
5b01647dc66dc6000197d6ea,No-ToM,Trial 1,1224.4000000059605,follow,correct,100
5b01647dc66dc6000197d6ea,No-ToM,Trial 2,1456.5,follow,correct,100
5b01647dc66dc6000197d6ea,No-ToM,Trial 3,3557.699999988079,follow,correct,100
5b01647dc66dc6000197d6ea,No-ToM,Trial 4,1009.5,not_follow,incorrect,100
5b01647dc66dc6000197d6ea,No-ToM,Breaking of Trust,872.29999999702,follow,correct,78
5b01647dc66dc6000197d6ea,No-ToM,Trial 6,1242.7000000029802,follow,correct,100
5b01647dc66dc6000197d6ea,No-ToM,Trial 7,1789.5,follow,correct,100
5b01647dc66dc6000197d6ea,No-ToM,Trial 8,1001.79999999702,follow,correct,100
5b01647dc66dc6000197d6ea,No-ToM,Trial 9,839.5,follow,correct,100
5b01647dc66dc6000197d6ea,No-ToM,Assessment of Trust,6671.400000005961,not_follow,incorrect,100
5b212164cfbf200001cfb3ad,ToM,Trial 1,1913,follow,correct,60
5b212164cfbf200001cfb3ad,ToM,Trial 2,762,follow,correct,80
5b212164cfbf200001cfb3ad,ToM,Trial 3,7564,not_follow,incorrect,40
5b212164cfbf200001cfb3ad,ToM,Trial 4,1056,follow,correct,70
5b212164cfbf200001cfb3ad,ToM,Breaking of Trust,520,follow,correct,61
5b212164cfbf200001cfb3ad,ToM,Trial 6,989,follow,correct,70
5b212164cfbf200001cfb3ad,ToM,Trial 7,2150,follow,correct,65
5b212164cfbf200001cfb3ad,ToM,Trial 8,1418,follow,correct,75
5b212164cfbf200001cfb3ad,ToM,Trial 9,766,follow,correct,79
5b212164cfbf200001cfb3ad,ToM,Assessment of Trust,585,follow,correct,60
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 1,1222.5800000596792,follow,correct,70
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 2,1278.165000025183,follow,correct,60
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 3,4855.905000003988,follow,correct,40
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 4,1792.4799999454997,follow,correct,75
5b4cfe36d4c93b00019c79aa,No-ToM,Breaking of Trust,1283.9349999558178,follow,correct,55
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 6,36522.38999994008,follow,correct,60
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 7,19573.79499997478,follow,correct,60
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 8,1231.1150000896305,follow,correct,75
5b4cfe36d4c93b00019c79aa,No-ToM,Trial 9,1208.4000000031665,follow,correct,60
5b4cfe36d4c93b00019c79aa,No-ToM,Assessment of Trust,10325.504999957044,follow,correct,55
5b73dc45a6cbce0001228d87,ToM,Trial 1,1273.600000000093,follow,correct,66
5b73dc45a6cbce0001228d87,ToM,Trial 2,1110.199999999953,follow,correct,100
5b73dc45a6cbce0001228d87,ToM,Trial 3,30700.300000000047,follow,correct,40
5b73dc45a6cbce0001228d87,ToM,Trial 4,865.1000000000931,follow,correct,100
5b73dc45a6cbce0001228d87,ToM,Breaking of Trust,1226.8999999999064,follow,correct,59
5b73dc45a6cbce0001228d87,ToM,Trial 6,3975.600000000093,follow,correct,70
5b73dc45a6cbce0001228d87,ToM,Trial 7,3894,follow,correct,81
5b73dc45a6cbce0001228d87,ToM,Trial 8,2768.600000000093,follow,correct,100
5b73dc45a6cbce0001228d87,ToM,Trial 9,1636.5,follow,correct,100
5b73dc45a6cbce0001228d87,ToM,Assessment of Trust,1255.5,follow,correct,76
5bc7851135b90f0001432a3c,ToM,Trial 1,1233.9099999517207,follow,correct,100
5bc7851135b90f0001432a3c,ToM,Trial 2,892.5400001462549,follow,correct,98
5bc7851135b90f0001432a3c,ToM,Trial 3,3747.329999925569,follow,correct,89
5bc7851135b90f0001432a3c,ToM,Trial 4,1205.4899998474866,follow,correct,100
5bc7851135b90f0001432a3c,ToM,Breaking of Trust,762.7449999563398,follow,correct,93
5bc7851135b90f0001432a3c,ToM,Trial 6,1301.8300000112504,follow,correct,75
5bc7851135b90f0001432a3c,ToM,Trial 7,1525.4049999639396,follow,correct,93
5bc7851135b90f0001432a3c,ToM,Trial 8,2435.014999937266,follow,correct,100
5bc7851135b90f0001432a3c,ToM,Trial 9,877.3700001183897,follow,correct,91
5bc7851135b90f0001432a3c,ToM,Assessment of Trust,9254.979999968771,not_follow,incorrect,51
5bc9a08c3d893f0001bed28b,ToM,Trial 1,2662,follow,correct,100
5bc9a08c3d893f0001bed28b,ToM,Trial 2,3543.4000000059605,follow,correct,100
5bc9a08c3d893f0001bed28b,ToM,Trial 3,4890,follow,correct,100
5bc9a08c3d893f0001bed28b,ToM,Trial 4,1243.3999999910593,follow,correct,100
5bc9a08c3d893f0001bed28b,ToM,Breaking of Trust,1194.79999999702,follow,correct,100
5bc9a08c3d893f0001bed28b,ToM,Trial 6,970,follow,correct,100
5bc9a08c3d893f0001bed28b,ToM,Trial 7,5279.0999999940395,follow,correct,77
5bc9a08c3d893f0001bed28b,ToM,Trial 8,2221.5,follow,correct,80
5bc9a08c3d893f0001bed28b,ToM,Trial 9,1036.5999999940395,follow,correct,70
5bc9a08c3d893f0001bed28b,ToM,Assessment of Trust,1949.20000000298,follow,correct,90
5bd0107d77740000016b52fa,ToM,Trial 1,1499.1050000098762,follow,correct,89
5bd0107d77740000016b52fa,ToM,Trial 2,2534.170000013546,follow,correct,90
5bd0107d77740000016b52fa,ToM,Trial 3,14437.66999999934,follow,correct,69
5bd0107d77740000016b52fa,ToM,Trial 4,1102.1099999925354,follow,correct,87
5bd0107d77740000016b52fa,ToM,Breaking of Trust,2572.3500000021895,follow,correct,79
5bd0107d77740000016b52fa,ToM,Trial 6,828.2400000025518,follow,correct,78
5bd0107d77740000016b52fa,ToM,Trial 7,29629.350000002887,follow,correct,70
5bd0107d77740000016b52fa,ToM,Trial 8,970.3349999908824,follow,correct,75
5bd0107d77740000016b52fa,ToM,Trial 9,930.8450000098676,follow,correct,60
5bd0107d77740000016b52fa,ToM,Assessment of Trust,890.4199999960838,follow,correct,59
5be76184b863d70001604e3b,ToM,Trial 1,2185.20000000298,follow,correct,74
5be76184b863d70001604e3b,ToM,Trial 2,805.6000000014901,follow,correct,100
5be76184b863d70001604e3b,ToM,Trial 3,35604.100000001476,follow,correct,100
5be76184b863d70001604e3b,ToM,Trial 4,2237.79999999702,not_follow,incorrect,100
5be76184b863d70001604e3b,ToM,Breaking of Trust,1266.39999999851,follow,correct,76
5be76184b863d70001604e3b,ToM,Trial 6,115433.89999999852,follow,correct,79
5be76184b863d70001604e3b,ToM,Trial 7,1338.5,follow,correct,100
5be76184b863d70001604e3b,ToM,Trial 8,941.79999999702,follow,correct,100
5be76184b863d70001604e3b,ToM,Trial 9,843.5,follow,correct,100
5be76184b863d70001604e3b,ToM,Assessment of Trust,23901.299999997016,not_follow,incorrect,100
5beac51129a0d600015d63d3,ToM,Trial 1,1481.9000000059605,follow,correct,100
5beac51129a0d600015d63d3,ToM,Trial 2,1418.199999988079,follow,correct,100
5beac51129a0d600015d63d3,ToM,Trial 3,4552.0999999940395,follow,correct,100
5beac51129a0d600015d63d3,ToM,Trial 4,4904.300000011923,not_follow,incorrect,100
5beac51129a0d600015d63d3,ToM,Breaking of Trust,1446,follow,correct,100
5beac51129a0d600015d63d3,ToM,Trial 6,1205.5,follow,correct,100
5beac51129a0d600015d63d3,ToM,Trial 7,1168.699999988079,follow,correct,100
5beac51129a0d600015d63d3,ToM,Trial 8,1665.5999999940395,follow,correct,100
5beac51129a0d600015d63d3,ToM,Trial 9,13153.90000000596,follow,correct,100
5beac51129a0d600015d63d3,ToM,Assessment of Trust,11024.099999994034,not_follow,incorrect,100
5bed4fab8496450001c53493,ToM,Trial 1,1149.800000000745,follow,correct,100
5bed4fab8496450001c53493,ToM,Trial 2,7555.400000002233,follow,correct,100
5bed4fab8496450001c53493,ToM,Trial 3,2502.20000000298,follow,correct,71
5bed4fab8496450001c53493,ToM,Trial 4,18339,follow,correct,94
5bed4fab8496450001c53493,ToM,Breaking of Trust,973.5999999977648,follow,correct,97
5bed4fab8496450001c53493,ToM,Trial 6,5483.599999997765,follow,correct,9
5bed4fab8496450001c53493,ToM,Trial 7,1531.699999999255,follow,correct,17
5bed4fab8496450001c53493,ToM,Trial 8,7491.600000001492,follow,correct,78
5bed4fab8496450001c53493,ToM,Trial 9,824.8000000007451,follow,correct,90
5bed4fab8496450001c53493,ToM,Assessment of Trust,1225.699999999255,not_follow,incorrect,86
5c00459dbab6730001648b96,No-ToM,Trial 1,1161.3000000119205,follow,correct,75
5c00459dbab6730001648b96,No-ToM,Trial 2,735.0999999940394,follow,correct,75
5c00459dbab6730001648b96,No-ToM,Trial 3,4418.699999988079,follow,correct,60
5c00459dbab6730001648b96,No-ToM,Trial 4,2254.199999988079,follow,correct,80
5c00459dbab6730001648b96,No-ToM,Breaking of Trust,769.5,follow,correct,70
5c00459dbab6730001648b96,No-ToM,Trial 6,16048.5,follow,correct,71
5c00459dbab6730001648b96,No-ToM,Trial 7,10890.399999976153,follow,correct,100
5c00459dbab6730001648b96,No-ToM,Trial 8,5530.400000005961,follow,correct,100
5c00459dbab6730001648b96,No-ToM,Trial 9,6116.5999999940395,follow,correct,100
5c00459dbab6730001648b96,No-ToM,Assessment of Trust,10722.800000011925,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Trial 1,896.0149999997811,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Trial 2,5910.370000000054,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Trial 3,10424.090000000026,follow,correct,88
5c1b822abdb7e80001834a09,No-ToM,Trial 4,1917.0199999999024,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Breaking of Trust,1187.8700000002282,follow,correct,93
5c1b822abdb7e80001834a09,No-ToM,Trial 6,703.9399999998859,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Trial 7,2009.7900000000957,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Trial 8,749.75,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Trial 9,582.1150000001073,follow,correct,100
5c1b822abdb7e80001834a09,No-ToM,Assessment of Trust,420.9250000002792,not_follow,incorrect,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 1,1854.899999976158,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 2,1110.400000035763,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 3,38034,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 4,1373.8000000119205,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Breaking of Trust,2382.100000023841,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 6,1621.8000000119205,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 7,840.1999999880793,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 8,2123.2000000476837,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Trial 9,1335.900000035763,follow,correct,100
5c41bf2de1e6d000016d3d28,No-ToM,Assessment of Trust,2194.100000023841,not_follow,incorrect,100
5c47f8f76d9ae80001a16d2f,ToM,Trial 1,3150.5999999642368,follow,correct,97
5c47f8f76d9ae80001a16d2f,ToM,Trial 2,1130.5,follow,correct,100
5c47f8f76d9ae80001a16d2f,ToM,Trial 3,19377.699999988068,follow,correct,64
5c47f8f76d9ae80001a16d2f,ToM,Trial 4,1772.199999988079,follow,correct,100
5c47f8f76d9ae80001a16d2f,ToM,Breaking of Trust,1639.2999999523158,follow,correct,100
5c47f8f76d9ae80001a16d2f,ToM,Trial 6,3079.300000011921,follow,correct,100
5c47f8f76d9ae80001a16d2f,ToM,Trial 7,2054.9000000357632,follow,correct,100
5c47f8f76d9ae80001a16d2f,ToM,Trial 8,2354.5,follow,correct,88
5c47f8f76d9ae80001a16d2f,ToM,Trial 9,709.8999999761585,follow,correct,100
5c47f8f76d9ae80001a16d2f,ToM,Assessment of Trust,3731.699999988079,not_follow,incorrect,100
5c49519651c26300012d216f,No-ToM,Trial 1,4561.054999998303,follow,correct,90
5c49519651c26300012d216f,No-ToM,Trial 2,1174.475000007078,follow,correct,95
5c49519651c26300012d216f,No-ToM,Trial 3,6321.879999944938,follow,correct,95
5c49519651c26300012d216f,No-ToM,Trial 4,14434.285000024827,not_follow,incorrect,95
5c49519651c26300012d216f,No-ToM,Breaking of Trust,1169.5949999848378,follow,correct,95
5c49519651c26300012d216f,No-ToM,Trial 6,1641.1850000149566,follow,correct,85
5c49519651c26300012d216f,No-ToM,Trial 7,3389.2050000140443,follow,correct,80
5c49519651c26300012d216f,No-ToM,Trial 8,1846.4099999982868,follow,correct,90
5c49519651c26300012d216f,No-ToM,Trial 9,1319.5100000011737,follow,correct,90
5c49519651c26300012d216f,No-ToM,Assessment of Trust,6076.880000007805,not_follow,incorrect,65
5c59ff6715f1930001c84b94,No-ToM,Trial 1,1088,follow,correct,91
5c59ff6715f1930001c84b94,No-ToM,Trial 2,726,follow,correct,91
5c59ff6715f1930001c84b94,No-ToM,Trial 3,4622,follow,correct,91
5c59ff6715f1930001c84b94,No-ToM,Trial 4,1154,follow,correct,100
5c59ff6715f1930001c84b94,No-ToM,Breaking of Trust,784,follow,correct,92
5c59ff6715f1930001c84b94,No-ToM,Trial 6,5430,follow,correct,91
5c59ff6715f1930001c84b94,No-ToM,Trial 7,3254,follow,correct,60
5c59ff6715f1930001c84b94,No-ToM,Trial 8,7568,follow,correct,74
5c59ff6715f1930001c84b94,No-ToM,Trial 9,5907,follow,correct,76
